Party,User,Hashtag
PP,Dime_jeancarlo,TeambrianMundial
PP,Dime_jeancarlo,TeambrianMundial
PP,kelay_FP,TeambrianMundial
PP,kelay_FP,TeambrianMundial
PP,Biergo,bipartidismo
PP,Soyy_Tiguere,FamilyPretty
PP,Soyy_Tiguere,FamilyPretty
PP,Mira_Fulaniito,FamilyPretty
PP,Mira_Fulaniito,FamilyPretty
PP,Megard_jefferso,FamilyPretty
PP,Megard_jefferso,FamilyPretty
PP,Diime_Jefa14,FamilyPretty
PP,Diime_Jefa14,FamilyPretty
PP,jairo_gross,FamilyPretty
PP,jairo_gross,FamilyPretty
PP,kelay_FP,FamilyPretty
PP,kelay_FP,FamilyPretty
PP,DeFamilyWay,Way
PP,emilvolquez1,NelsonBerroa
PP,emilvolquez1,NelsonBerroa
PP,NelsonBerroa_,NelsonBerroa
PP,NelsonBerroa_,NelsonBerroa
PP,NelsonBerroa_,NelsonBerroa
PP,NelsonBerroa_,NelsonBerroa
PP,MadridNoticias,TeleMadrid
PP,NelsonBerroa_,NelsonBerroa
PP,yorhm03,YorkReyes
PP,LVE_Frases1,weiipepo
PP,LVE_Frases1,weiipepo
PP,Aneury_Montilla,weiipepo
PP,Aneury_Montilla,weiipepo
PP,Miira_Lorena,weiipepo
PP,Miira_Lorena,weiipepo
PP,MeDicen_Dayii,Team1JonathanPerez
PP,MeDicen_Dayii,Team1JonathanPerez
PP,Yordalis14,YorkReye
PP,757LiveES,El
PP,_Starlin1,YorkReye
PP,El_caneloX3,Team1JonathanPerez
PP,El_caneloX3,Team1JonathanPerez
PP,GeraldohDiiaz,Team1JonathanPerez
PP,GeraldohDiiaz,Team1JonathanPerez
PP,YeicoBoyz,Team1JonathanPerez
PP,YeicoBoyz,Team1JonathanPerez
PP,Florentzn,MeMeo
PP,Florentzn,SoisLaPolla
PP,falcarazfer,politica
PP,MeDicen_Dayii,Team1JonathanPerez
PP,MeDicen_Dayii,Team1JonathanPerez
PP,Orcasmo,PPcontraPP
PP,tuitPoliticaEs,ElPais
PP,eduardreyne,crispación
PP,AntonSolamente,AntonSolamente
PP,AntonSolamente,AntonSolamente
PP,MarCarballas,Burela
PP,MarCarballas,AMariña
PP,wilmankc,Domiinicano18
PP,wilmankc,DewerKc
PP,Weii_tit0,TEAMCASILLA
PP,Weii_tit0,TEAMCASILLA
PP,MarbellaEdPub,distrito6
PP,MarbellaEdPub,omaitademivida
PP,MariSolSolet,preferentes
PP,MariSolSolet,HerenciaRecibida
PP,JJ_Padi,SalDelBipartidismo
PP,JJ_Padi,bipartidismo
PP,JJ_Padi,PP
PP,JJ_Padi,PSOE
PP,JJ_Padi,PPSOE
PP,JJ_Padi,Elecciones
PP,JJ_Padi,Voto
PP,davidCadillo,politica
PP,masqueliao,preferentes
PP,masqueliao,HerenciaRecibida
PP,JoanFontRibera,crispación
PP,blaialberic,ABC
PP,rubenamor45,PPcontraPP
PP,newsOviedo,Oviedo
PP,Diime_isaac,IsaacAcosta
PP,Erasmus1989,Europeas2014
PP,Erasmus1989,EuroUPyD
PP,Erasmus1989,EuropaCs
PP,Erasmus1989,Primaveraeuropea
PP,titomartin67,PPcontraPP
PP,empillulodits,crispación
PP,byhappy63,preferentes
PP,byhappy63,HerenciaRecibida
PP,EstherCld,PPcontraPP
PP,pp_cortes,25añosPRD
PP,racingferrol91,ÉaHoraDoPobo
PP,racingferrol91,HaiQueParalos
PP,patriestevez,Junta
PP,MarisolGarciaL6,PPcontraPP
PP,juliaroses_,PPcontraPP
PP,La_sopa06,AMAURI
PP,rodcarluis,preferentes
PP,rodcarluis,HerenciaRecibida
PP,EnricRoigMontag,PLETORTOSA
PP,pp_joe,CadillacConCausa
PP,miguel_garvi,socialmedia
PP,JSALucenadelPto,Andalucía
PP,JSALucenadelPto,España
PP,rosenthalanmg,ÉaHoraDoPobo
PP,rosenthalanmg,HaiQueParalos
PP,juanrigi1,PPcontraPP
PP,CEAestudiantes,Huelga8M
PP,WikenteWendies,NoalaReformaLaboral
PP,WikenteWendies,PP
PP,osman2k3,PPcontraPP
PP,amalialaly,CIE
PP,Beduac,news
PP,jgl32,PPcontraPP
PP,Elecciones25M,25M
PP,psoemoratalla,PP
PP,psoemoratalla,Murcia
PP,memoloamimisma,preferentes
PP,memoloamimisma,HerenciaRecibida
PP,litusfera,crispación
PP,PP_VAL,AlfonsoRus
PP,Roquer_i_Sala,crispación
PP,aitite63,PPcontraPP
PP,iabierta,ÉaHoraDoPobo
PP,iabierta,HaiQueParalos
PP,EnricRoigMontag,PLETORTOSA
